Node Type,Name,Description,Image,Reference,Location,Skills
Person,Ahmet,Software Engineer,,https://ahmetkizilay.com/,New York,Javascript; Typescript; Java
Person,Burak,Artist,,https://burak-arikan.com/,New York,Software art
Person,Ayca,Consultant,,https://twitter.com/manythingoes,New York,Product design; Training
Organization,Graph Commons,"Collaborative platform for mapping, analyzing, and publishing data-networks.",https://pbs.twimg.com/profile_images/1602705995637170176/-W82V-Pi_400x400.jpg,https://graphcommons.com,New York; Istanbul; Hong Kong,
Organization,New Lab,Tech hub,,https://newlab.com/,New York; Berlin,
